label_num;label_name;unknown;isdmn;issalience
1;Precentral_R;2001;0;0
2;Precentral_L;2002;0;0
3;Frontal_Sup_R;2101;0;0
4;Frontal_Sup_L;2102;0;0
5;Frontal_Sup_Orb_R;2111;0;0
6;Frontal_Sup_Orb_L;2112;0;0
7;Frontal_Mid_R;2201;0;0
8;Frontal_Mid_L;2202;0;0
9;Frontal_Mid_Orb_R;2211;1;0
10;Frontal_Mid_Orb_L;2212;1;0
11;Frontal_Inf_Oper_R;2301;0;0
12;Frontal_Inf_Oper_L;2302;0;0
13;Frontal_Inf_Tri_R;2311;0;0
14;Frontal_Inf_Tri_L;2312;0;0
15;Frontal_Inf_Orb_R;2321;0;0
16;Frontal_Inf_Orb_L;2322;0;0
17;Rolandic_Oper_R;2331;0;0
18;Rolandic_Oper_L;2332;0;0
19;Supp_Motor_Area_R;2401;0;0
20;Supp_Motor_Area_L;2402;0;0
21;Olfactory_R;2501;0;0
22;Olfactory_L;2502;0;0
23;Frontal_Sup_Medial_R;2601;0;0
24;Frontal_Sup_Medial_L;2602;0;0
25;Frontal_Med_Orb_R;2611;2;0
26;Frontal_Med_Orb_L;2612;2;0
27;Rectus_R;2701;0;0
28;Rectus_L;2702;0;0
29;Insula_R;3001;0;1
30;Insula_L;3002;0;1
31;Cingulum_Ant_R;4001;2;1
32;Cingulum_Ant_L;4002;2;1
33;Cingulum_Mid_R;4011;0;0
34;Cingulum_Mid_L;4012;0;0
35;Cingulum_Post_R;4021;2;0
36;Cingulum_Post_L;4022;2;0
37;Hippocampus_R;4101;2;0
38;Hippocampus_L;4102;2;0
39;ParaHippocampal_R;4111;0;0
40;ParaHippocampal_L;4112;0;0
41;Amygdala_R;4201;0;0
42;Amygdala_L;4202;0;0
43;Calcarine_R;5001;0;0
44;Calcarine_L;5002;0;0
45;Cuneus_R;5011;0;0
46;Cuneus_L;5012;0;0
47;Lingual_R;5021;0;0
48;Lingual_L;5022;0;0
49;Occipital_Sup_R;5101;0;0
50;Occipital_Sup_L;5102;0;0
51;Occipital_Mid_R;5201;0;0
52;Occipital_Mid_L;5202;0;0
53;Occipital_Inf_R;5301;0;0
54;Occipital_Inf_L;5302;0;0
55;Fusiform_R;5401;0;0
56;Fusiform_L;5402;0;0
57;Postcentral_R;6001;0;0
58;Postcentral_L;6002;0;0
59;Parietal_Sup_R;6101;0;0
60;Parietal_Sup_L;6102;0;0
61;Parietal_Inf_R;6201;2;0
62;Parietal_Inf_L;6202;2;0
63;SupraMarginal_R;6211;0;0
64;SupraMarginal_L;6212;0;0
65;Angular_R;6221;1;0
66;Angular_L;6222;1;0
67;Precuneus_R;6301;1;0
68;Precuneus_L;6302;1;0
69;Paracentral_Robule_R;6401;0;0
70;Paracentral_Robule_L;6402;0;0
71;Caudate_R;7001;0;0
72;Caudate_L;7002;0;0
73;Putamen_R;7011;0;0
74;Putamen_L;7012;0;0
75;Pallidum_R;7021;0;0
76;Pallidum_L;7022;0;0
77;Thalamus_R;7101;0;0
78;Thalamus_L;7102;0;0
79;Heschl_R;8101;0;0
80;Heschl_L;8102;0;0
81;Temporal_Sup_R;8111;0;0
82;Temporal_Sup_L;8112;0;0
83;Temporal_Pole_Sup_R;8121;0;0
84;Temporal_Pole_Sup_L;8122;0;0
85;Temporal_Mid_R;8201;2;0
86;Temporal_Mid_L;8202;2;0
87;Temporal_Pole_Mid_R;8211;0;0
88;Temporal_Pole_Mid_L;8212;0;0
89;Temporal_Inf_R;8301;0;0
90;Temporal_Inf_L;8302;0;0
91;Cerebelum_Crus1_R;9001;0;0
92;Cerebelum_Crus1_L;9002;0;0
93;Cerebelum_Crus2_R;9011;0;0
94;Cerebelum_Crus2_L;9012;0;0
95;Cerebelum_3_R;9021;0;0
96;Cerebelum_3_L;9022;0;0
97;Cerebelum_4_5_R;9031;0;0
98;Cerebelum_4_5_L;9032;0;0
99;Cerebelum_6_R;9041;0;0
100;Cerebelum_6_L;9042;0;0
101;Cerebelum_7b_R;9051;0;0
102;Cerebelum_7b_L;9052;0;0
103;Cerebelum_8_R;9061;0;0
104;Cerebelum_8_L;9062;0;0
105;Cerebelum_9_R;9071;0;0
106;Cerebelum_9_L;9072;0;0
107;Cerebelum_10_R;9081;0;0
108;Cerebelum_10_L;9082;0;0
109;Vermis_1_2;9100;0;0
110;Vermis_3;9110;0;0
111;Vermis_4_5;9120;0;0
112;Vermis_6;9130;0;0
113;Vermis_7;9140;0;0
114;Vermis_8;9150;0;0
115;Vermis_9;9160;0;0
116;Vermis_10;9170;0;0
